Catagory,Sub Catagory,Object Name,Cost,Location
Weapon,Spears & Pikes,Saint Bident,,"Found at Cathedral of the Deep: next to one of the chained-Giants, there is a big blue door that leads to the area where this if found."
Weapon,Spears & Pikes,Rotten Ghru Spear,,Dropped by Ghru Grunts wielding this weapon in the swamp area in Farron Keep and in the labyrinth area of Smouldering Lake.
Weapon,Spears & Pikes,Partizan,,"Looted from a hanging corpse near where Cornyx is being held, above the Third bonfire at the Undead Settlement."
Weapon,Spears & Pikes,Yorshka's Spear,,Located in a chest in a dark room not far from the Church of Yorshka bonfire in Irithyll of the Boreal Valley.
Weapon,Spears & Pikes,Gargoyle Flame Spear,,Dropped by Stone Gargoyles wielding this weapon in the Profaned Capital & Grand Archives.
Weapon,Spears & Pikes,Dragonslayer Swordspear,,Soul Transposition of the Soul of the Nameless King.
Weapon,Spears & Pikes,Dragonslayer Spear,,Looted from a spot in the area after the Nameless King
Weapon,Spears & Pikes,Golden Ritual Spear,,Dropped from a Mimic just above Pontiff Sullyvahn bonfire.
Weapon,Spears & Pikes,Soldering Iron,,Dropped from a Mimic just above Pontiff Sullyvahn bonfire.
Weapon,Spears & Pikes,Lothric Knight Long Spear,,Dropped from Lothric Knights wielding them between the Vordt of the Boreal Valley and Dancer of the Boreal Valley bossfight rooms.
Weapon,Spears & Pikes,Greatlance,,Looted off of the dead body after the red eyed Lothric Knight near the Dragon Barracks bonfire (Before the bridge)
Weapon,Spears & Pikes,Pike,,Rare drop from the branch-wielding hollows after the Crucifixion Woods bonfire at the Road of Sacrifices
Weapon,Spears & Pikes,Follower Javelin,,"Ashes of Ariandel DLC: From the Snowfiled bonfire, up the hill to the right guarded by Farron Followers"
Weapon,Spears & Pikes,Ringed Knight Spear,,The Ringed City: Down the steps from Shira and to the right before the swamp. On a corpse behind the Ringed Knight.
Weapon,Spears & Pikes,Lothric War Banner,,A hidden area just shortly after you meet Lapp for the first time in The Dreg Heap
Weapon,Halberds,Halberd,,Sold by the Shrine Handmaid at Firelink Shrine for 1500 souls.; Dropped by Hollow Soldiers with Halberds in High Wall of Lothric
Weapon,Halberds,Lucerne,,Looted from a corpse to the right of the entrance to Emma at her church in High Wall of Lothric.
Weapon,Halberds,Winged Knight Halberd,,Dropped by Winged Knights wielding this weapon (rare drop)
Weapon,Halberds,Red Hilted Halberd,,"In the sewers of Undead Settlement, next to where you find the statue of Velka."
Weapon,Halberds,Black Knight Glaive,,Found in the boss arena for Champion Gundyr
Weapon,Halberds,Gundyr's Halberd,,Craft via Soul Transposition from Soul of Champion Gundyr
Weapon,Halberds,Immolation Tinder,,Drops from Fire Witches in Irithyll of the Boreal Valley.
Weapon,Halberds,Crescent Axe,,Purchased from Shrine Handmaid after giving her Paladin's Ashes.
Weapon,Halberds,Glaive,,Buy for 3500 souls from Greirat
Weapon,Halberds,Splitleaf Greatsword,,Can be bought from the Stone-humped Hag at The Dreg Heap
Weapon,Halberds,Crucifix of the Mad King,,Drops from Shira when you face her in the final area of The Ringed City
Weapon,Reapers,Great Scythe,,Looted from Undead Settlement in a destroyed building near the rain of giant arrows and the White Birch Tree.
Weapon,Reapers,Pontiff Knight Great Scythe,,Dropped by the Pontiff Knight wielding this weapon in front of the Pontiff Sulyvahn boss room.
Weapon,Reapers,Great Corvian Scythe,,Dropped by Corvian enemies wielding it in Road of Sacrifices
Weapon,Reapers,Friede's Great Scythe,,Obtained from the Soul of Sister Friede by using Soul Transposition
Weapon,Whips,Whip,,Looted from a corpse in the Undead Settlement.
Weapon,Whips,Notched Whip,,Beginning of the Cathedral of the Deep. First bonfire.
Weapon,Whips,Witch's Locks,,In a chest in dark room in Floor 1 of Grand Archives. Pull the lever.
Weapon,Whips,Spotted Whip,,Located where you first found Cornyx in Undead Settlement after summoning White Phantom Great Swamp Cuculus and defeating Old Demon King
Weapon,Whips,Rose of Ariandel,,Ashes of Ariandel DLC: Soul Transposition of Soul of Sister Friede
Weapon,Bows,Short Bow,,Starting Equipment: Thief; Buy: Merchant Greirat's expanded inventory
Weapon,Bows,Longbow,,High Wall of Lothric
Weapon,Bows,Black Bow of Pharis,,Dropped by mini Cleric Beast-like enemy in Farron Keep. There are 3 around a soul to the left of the second bonfire in this area. One of them drops it
Weapon,Bows,Dragonrider Bow,,Smouldering Lake
Weapon,Bows,Composite Bow,,"Bought from the Shrine Handmaid for 3,500 souls after giving her the Dreamchaser's Ashes."
Weapon,Bows,Darkmoon Longbow,,Soul Transposition using Soul of Aldrich
Weapon,Bows,White Birch Bow,,The Ringed City - Found on the swamp's cliffside past the Inner Wall area.
Weapon,Greatbows,Dragonslayer Greatbow,,Anor Londo
Weapon,Greatbows,Onislayer Greatbow,,Profaned Capital
Weapon,Greatbows,Millwood Greatbow,,"Ashes of Ariandel DLC: Up the path near the Millwood Ruins, guarded by wolves and Knights."
Weapon,Crossbows,Light Crossbow,,Dropped by the Undeads with Crossbows at the High Wall of Lothric.; Sold by Greirat of the Undead Settlement.
Weapon,Crossbows,Knight's Crossbow,,Lothric knight drop
Weapon,Crossbows,Arbalest,,Cathedral of the Deep
Weapon,Crossbows,Sniper Crossbow,,Looted from a corpse at the top of a gatehouse just before the dragons in Lothric Castle
Weapon,Crossbows,Avelyn,,Grand Archives
Weapon,Crossbows,Heavy Crossbow,,Dropped by the crossbow-wielding knight in Cathedral of the Deep
Weapon,Crossbows,Repeating Crossbow,,Transposed with Soul of Slave Knight Gael
Weapon,Staves,Sorcerer's Staff,,Shrine Handmaid
Weapon,Staves,Court Sorcerer's Staff,,Dropped by a mimic located in the Profaned Capital. The mimic is on the second floor of the church looking building that is full of hand beasts.
Weapon,Staves,Heretic's Staff,,"Road of Sacrifices 3rd bonfire, found in the 1st room of the ruins"
Weapon,Staves,Witch Tree Branch,,Looted from corpse behind a locked gate in Irithyll of the Boreal Valley. Must destroy an illusionary railing in order to acquire it.
Weapon,Staves,Sage's Crystal Staff ,,Dropped by the hostile mage NPC in Grand Archives.
Weapon,Staves,Izalith Staff,,Smouldering Lake
Weapon,Staves,Storyteller's Staff,,Dropped by the corvian mage at Road of Sacrifices
Weapon,Staves,Archdeacon Great Staff,,Reach Rank 2 in Aldrich Faithful Covenant
Weapon,Staves,Man-Grub's Staff,,Reach rank 2 in Rosaria's Fingers.
Weapon,Staves,Mendicant's Staff,,Drops from Summoners in Archdragon Peak.
Weapon,Staves,Preacher's Right Arm,,"Swamp in The Ringed City (Location), corpse hanging on structure in the middle"
Weapon,Staves,Murky Longstaff,,"The Dreg Heap, past the overgrown Lothric Knights and up the hill into a buidling, on a corpse"
Weapon,Flames,Pyromancy Flame,,Cornyx of the Great Swamp; Starting gear for the Pyromancer Class
Weapon,Flames,Pyromancer's Parting Flame,,Ashes of Ariandel DLC: At the bottom of the Path of Roots behind the illusory wall.
Weapon,Flames,Demon's Scar,,The Ringed CIty DLC: Transposable from the Soul of the Demon Prince
Weapon,Talismans,Talisman,,Sold by Shrine Handmaid for 500 souls.
Weapon,Talismans,Saint's Talisman,,Undead Settlement
Weapon,Talismans,Sunlight Talisman,,"Farron Keep, in the swamp near the Estus Soup."
Weapon,Talismans,White Hair Talisman,,Smouldering Lake: Lava pit.
Weapon,Talismans,Sunless Talisman,,Reward for completing the questline of Sirris of the Sunless Realms
Weapon,Talismans,Canvas Talisman,,"Purchased from Shrine Handmaid for 3,000 souls after giving her Paladin's Ashes"
Weapon,Sacred Chimes,Priest's Chime,,Sold by Greirat for 4000 souls after he is sent scavenging
Weapon,Sacred Chimes,Cleric's Sacred Chime,,Dropped by Undead Cleric at Cemetery of Ash
Weapon,Sacred Chimes,Caitha's Chime ,,Lothric Castle
Weapon,Sacred Chimes,Saint-tree Bellvine,,Looted from a corpse  near the first short cut at Cathedral of the Deep next to the water and the crawling maggot-enemies
Weapon,Sacred Chimes,Crystal Chime,,Found in the Grand Archives
Weapon,Sacred Chimes,Yorshka's Chime,,Drops from Company Captain Yorshka if killed
Weapon,Sacred Chimes,Sacred Chime of Filianore,,Given by Shira in The Ringed City when you first speak to her while she is behind the doors
